Scouter Name,Match Number,Robot Position,Team Number,Starting Position,Shoot Time (Auto),Shoot amount (Auto),Pass amount (Auto),Climb Position (Auto),"If climbed, Got stuck in Tower? (Auto)",Auton Complexity,Auton Completed?,How much missed shots? (Auto),Shoot Time (Teleop),Pass Time (Teleop),Shoot amount (Teleop),Pass amount (Teleop),Penalty Counter,How much missed shots? (Teleop),Quality Chasis/Driver Movement,Climb,Jammed over balls?,Bulldozing?,Defended?,Chasis Type,Died,"Comments? (Keep it short, only relevant info)"
AutoScout 4,11,Red 2,10931,Middle,,Too little (Less than 15),Some (15-30),Middle,False,Moves Balls in Middle,False,50%,,,Too many (90-130),Too many (90-130),5,10%,Mid,L2,False,Bad,Mid,Mecanum,False,"Silver Talon: offense 4/5, defense 3/5"
AutoScout 4,12,Red 3,10931,Depot Side,,Too little (Less than 15),Too little (Less than 15),Side,False,Only Shot,False,10%,,,Capitan (More than 130),Some (35-60),4,50%,Mid,L2,False,Mid,Good,Mecanum,False,"Silver Talon: offense 4/5, defense 3/5"
AutoScout 5,13,Blue 1,11065,Middle,,Too little (Less than 15),None,Failed Climb Attempt,False,Only Moved,True,10%,,,Some (35-60),Too little (Less than 35),6,25%,Bad,L2,False,Mid,BestOfEvent,Tank,True,"STEAMex Overheat: offense 2/5, defense 4/5"
AutoScout 5,14,Blue 2,11065,Depot Side,,Some (15-30),None,Didn't Climb,True,Moves Balls in Middle,False,50%,,,Too little (Less than 35),Some (35-60),2,50%,Good,Failed Climb Attempt,False,Good,BestOfEvent,Tank,False,"STEAMex Overheat: offense 2/5, defense 4/5"
AutoScout 5,15,Blue 3,11065,Outpost Side,,Too little (Less than 15),None,Didn't Climb,False,Moves Balls in Middle,False,10%,,,Many (60-90),None,2,50%,Mid,L2,False,Good,Mid,Tank,False,"STEAMex Overheat: offense 2/5, defense 4/5"
AutoScout 6,16,Red 1,3354,Depot Side,,None,None,Didn't Climb,False,Only Shot,False,75%,,,None,None,6,50%,Bad,L3,False,Bad,None,Tank,False,"PrepaTec - TecDroid: offense 1/5, defense 2/5"
AutoScout 6,17,Red 2,3354,Outpost Side,,Too little (Less than 15),None,Failed Climb Attempt,False,Did Nothing,True,25%,,,None,Too little (Less than 35),5,25%,Bad,L3,False,None,Mid,Tank,True,"PrepaTec - TecDroid: offense 1/5, defense 2/5"
AutoScout 6,18,Red 3,3354,Middle,,Too little (Less than 15),None,Failed Climb Attempt,False,Only Shot,False,25%,,,Some (35-60),Too little (Less than 35),4,50%,Bad,L1,False,Bad,Mid,Tank,False,"PrepaTec - TecDroid: offense 1/5, defense 2/5"
AutoScout 1,19,Blue 1,3472,Outpost Side,,Too many (More than 60),Some (15-30),Middle,False,Excellent,True,0%(ask before),,,Capitan (More than 130),Support (More than 130),2,10%,BestOfEvent,Failed Climb Attempt,False,Mid,Bad,Swerve,False,"PrepaTec - Buluk: offense 5/5, defense 2/5"
AutoScout 1,20,Blue 2,3472,Middle,,Too many (More than 60),Too many (More than 60),Middle,False,Excellent,True,10%,,,Too many (90-130),Many (60-90),1,10%,BestOfEvent,L3,False,Bad,Mid,Swerve,False,"PrepaTec - Buluk: offense 5/5, defense 2/5"
AutoScout 1,21,Blue 3,3472,Depot Side,,Too many (More than 60),Too many (More than 60),Side,False,Good,True,10%,,,Capitan (More than 130),Many (60-90),0,0%(ask before),BestOfEvent,Failed Climb Attempt,False,Bad,Mid,Swerve,False,"PrepaTec - Buluk: offense 5/5, defense 2/5"
AutoScout 2,22,Red 1,3478,Middle,,Some (15-30),Many (30-60),Side,False,Good,True,10%,,,Too many (90-130),Too many (90-130),4,25%,BestOfEvent,L3,False,Mid,Good,Swerve,True,"PrepaTec - LamBot: offense 4/5, defense 4/5"
AutoScout 2,23,Red 2,3478,Depot Side,,Many (30-60),Too little (Less than 15),Failed Climb Attempt,False,Good,True,0%(ask before),,,Many (60-90),Many (60-90),5,0%(ask before),Mid,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,False,"PrepaTec - LamBot: offense 4/5, defense 4/5"
AutoScout 2,24,Red 3,3478,Outpost Side,,Too many (More than 60),Many (30-60),Side,False,Excellent,True,0%(ask before),,,Too many (90-130),Some (35-60),2,0%(ask before),Good,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,False,"PrepaTec - LamBot: offense 4/5, defense 4/5"
AutoScout 3,25,Blue 1,3480,Depot Side,,Some (15-30),Some (15-30),Failed Climb Attempt,True,Good,True,0%(ask before),,,Too many (90-130),Too little (Less than 35),5,25%,Good,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,True,"PrepaTec - ABTOMAT: offense 3/5, defense 5/5"
AutoScout 3,26,Blue 2,3480,Outpost Side,,Some (15-30),Too little (Less than 15),Failed Climb Attempt,False,Moves Balls in Middle,True,0%(ask before),,,Too many (90-130),Too little (Less than 35),4,10%,Mid,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,False,"PrepaTec - ABTOMAT: offense 3/5, defense 5/5"
AutoScout 3,27,Blue 3,3480,Middle,,Some (15-30),Too little (Less than 15),Side,False,Only Shot,True,0%(ask before),,,Too many (90-130),Too little (Less than 35),5,25%,Good,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,False,"PrepaTec - ABTOMAT: offense 3/5, defense 5/5"
AutoScout 4,28,Red 1,3522,Outpost Side,,Too little (Less than 15),Some (15-30),Middle,False,Good,False,25%,,,Too many (90-130),Many (60-90),6,10%,Bad,L3,True,Good,Mid,Mecanum,False,"CBoT´S4: offense 4/5, defense 3/5"
AutoScout 4,29,Red 2,3522,Middle,,Many (30-60),Too little (Less than 15),Failed Climb Attempt,False,Good,True,10%,,,Capitan (More than 130),Too many (90-130),5,10%,Bad,L3,True,Good,Good,Mecanum,False,"CBoT´S4: offense 4/5, defense 3/5"
AutoScout 4,30,Red 3,3522,Depot Side,,Some (15-30),None,Side,False,Good,True,50%,,,Capitan (More than 130),Some (35-60),2,10%,Good,L2,False,Good,Good,Mecanum,False,"CBoT´S4: offense 4/5, defense 3/5"
AutoScout 5,31,Blue 1,3794,Middle,,Too little (Less than 15),None,Didn't Climb,False,Only Shot,True,50%,,,Some (35-60),Some (35-60),6,50%,Bad,L3,False,Mid,BestOfEvent,Tank,False,"Prepa Tecmilenio WinT: offense 2/5, defense 4/5"
AutoScout 5,32,Blue 2,3794,Depot Side,,None,None,Failed Climb Attempt,False,Only Moved,False,25%,,,Many (60-90),Some (35-60),6,25%,Good,L2,False,Good,Mid,Tank,True,"Prepa Tecmilenio WinT: offense 2/5, defense 4/5"
AutoScout 5,33,Blue 3,3794,Outpost Side,,Too little (Less than 15),Too little (Less than 15),Failed Climb Attempt,False,Only Shot,True,10%,,,Some (35-60),None,6,10%,Mid,L2,False,BestOfEvent,Mid,Tank,False,"Prepa Tecmilenio WinT: offense 2/5, defense 4/5"
AutoScout 6,34,Red 1,3933,Depot Side,,Too little (Less than 15),None,Didn't Climb,False,Only Moved,False,75%,,,Too little (Less than 35),None,4,50%,None,L3,True,Mid,Mid,Tank,False,"PrepaTec - Taman Keet: offense 1/5, defense 2/5"
AutoScout 6,35,Red 2,3933,Outpost Side,,Too little (Less than 15),Too little (Less than 15),Didn't Climb,False,Only Moved,False,25%,,,Some (35-60),Too little (Less than 35),5,50%,Mid,L3,False,None,Bad,Tank,False,"PrepaTec - Taman Keet: offense 1/5, defense 2/5"
AutoScout 6,36,Red 3,3933,Middle,,Too little (Less than 15),Too little (Less than 15),Didn't Climb,False,Did Nothing,False,25%,,,None,None,4,25%,Bad,L3,False,Mid,None,Tank,False,"PrepaTec - Taman Keet: offense 1/5, defense 2/5"
AutoScout 1,37,Blue 1,4010,Outpost Side,,Many (30-60),Too many (More than 60),Side,False,Excellent,True,0%(ask before),,,Capitan (More than 130),Too many (90-130),1,0%(ask before),BestOfEvent,Failed Climb Attempt,False,Mid,Bad,Swerve,False,"PrepaTec - Nautilus: offense 5/5, defense 2/5"
AutoScout 1,38,Blue 2,4010,Middle,,Too many (More than 60),Some (15-30),Failed Climb Attempt,True,Excellent,True,10%,,,Capitan (More than 130),Many (60-90),1,0%(ask before),BestOfEvent,Failed Climb Attempt,False,Bad,None,Swerve,False,"PrepaTec - Nautilus: offense 5/5, defense 2/5"
AutoScout 1,39,Blue 3,4010,Depot Side,,Too many (More than 60),Some (15-30),Failed Climb Attempt,False,Good,True,0%(ask before),,,Capitan (More than 130),Many (60-90),2,10%,BestOfEvent,Failed Climb Attempt,False,Bad,None,Swerve,False,"PrepaTec - Nautilus: offense 5/5, defense 2/5"
AutoScout 2,40,Red 1,4371,Middle,,Too many (More than 60),Some (15-30),Failed Climb Attempt,False,Good,True,25%,,,Too many (90-130),Many (60-90),1,25%,Good,Failed Climb Attempt,False,Mid,BestOfEvent,Swerve,True,"Prepa Tecmilenio - ART: offense 4/5, defense 4/5"
AutoScout 2,41,Red 2,4371,Depot Side,,Too many (More than 60),Many (30-60),Side,False,Moves Balls in Middle,True,10%,,,Too many (90-130),Many (60-90),3,10%,Mid,Failed Climb Attempt,False,BestOfEvent,Good,Swerve,False,"Prepa Tecmilenio - ART: offense 4/5, defense 4/5"
AutoScout 2,42,Red 3,4371,Outpost Side,,Some (15-30),Many (30-60),Side,False,Good,True,0%(ask before),,,Many (60-90),Some (35-60),1,0%(ask before),Mid,Failed Climb Attempt,True,Good,Good,Swerve,False,"Prepa Tecmilenio - ART: offense 4/5, defense 4/5"
AutoScout 3,43,Blue 1,4584,Depot Side,,Some (15-30),Too little (Less than 15),Side,False,Moves Balls in Middle,True,25%,,,Many (60-90),Too little (Less than 35),4,25%,Mid,Failed Climb Attempt,False,Good,Good,Swerve,False,"SentinelFox Engineering: offense 3/5, defense 5/5"
AutoScout 3,44,Blue 2,4584,Outpost Side,,Too little (Less than 15),None,Side,False,Good,True,10%,,,Some (35-60),Many (60-90),4,0%(ask before),Good,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,True,"SentinelFox Engineering: offense 3/5, defense 5/5"
AutoScout 3,45,Blue 3,4584,Middle,,Too little (Less than 15),Too little (Less than 15),Failed Climb Attempt,False,Moves Balls in Middle,True,10%,,,Some (35-60),Too little (Less than 35),4,0%(ask before),BestOfEvent,L3,False,BestOfEvent,BestOfEvent,Swerve,False,"SentinelFox Engineering: offense 3/5, defense 5/5"
AutoScout 4,46,Red 1,4635,Outpost Side,,Many (30-60),None,Failed Climb Attempt,False,Only Shot,True,25%,,,Many (60-90),Too many (90-130),4,50%,Good,Failed Climb Attempt,False,Mid,Bad,Mecanum,False,"PrepaTec - Botbusters: offense 4/5, defense 3/5"
AutoScout 4,47,Red 2,4635,Middle,,Many (30-60),Some (15-30),Side,False,Good,True,10%,,,Many (60-90),Some (35-60),4,25%,Good,Failed Climb Attempt,True,Good,Bad,Mecanum,False,"PrepaTec - Botbusters: offense 4/5, defense 3/5"
AutoScout 4,48,Red 3,4635,Depot Side,,Many (30-60),Too little (Less than 15),Failed Climb Attempt,False,Good,True,10%,,,Capitan (More than 130),Some (35-60),6,25%,Mid,Failed Climb Attempt,True,Mid,Mid,Mecanum,False,"PrepaTec - Botbusters: offense 4/5, defense 3/5"
AutoScout 5,49,Blue 1,4723,Middle,,Too little (Less than 15),Too little (Less than 15),Didn't Climb,True,Moves Balls in Middle,False,10%,,,Many (60-90),Some (35-60),3,25%,Mid,L2,False,Mid,Good,Tank,False,"Prepa Tecmilenio - EARTH - 4723: offense 2/5, defense 4/5"
AutoScout 5,50,Blue 2,4723,Depot Side,,Some (15-30),Too little (Less than 15),Didn't Climb,False,Only Moved,True,10%,,,Too little (Less than 35),None,2,10%,Mid,L2,False,BestOfEvent,BestOfEvent,Tank,False,"Prepa Tecmilenio - EARTH - 4723: offense 2/5, defense 4/5"
AutoScout 5,51,Blue 3,4723,Outpost Side,,Too little (Less than 15),Too little (Less than 15),Failed Climb Attempt,False,Only Shot,False,50%,,,Many (60-90),None,2,50%,Bad,L2,False,Good,Good,Tank,False,"Prepa Tecmilenio - EARTH - 4723: offense 2/5, defense 4/5"
AutoScout 6,52,Red 1,4775,Depot Side,,Too little (Less than 15),None,Didn't Climb,False,Did Nothing,False,25%,,,None,Too little (Less than 35),3,75%,None,L3,False,Bad,None,Tank,True,"Aztech Robotics: offense 1/5, defense 2/5"
AutoScout 6,53,Red 2,4775,Outpost Side,,Too little (Less than 15),Too little (Less than 15),Didn't Climb,False,Did Nothing,False,25%,,,None,None,6,75%,None,L3,False,None,Bad,Tank,True,"Aztech Robotics: offense 1/5, defense 2/5"
AutoScout 6,54,Red 3,4775,Middle,,Too little (Less than 15),None,Didn't Climb,True,Only Moved,True,25%,,,Too little (Less than 35),None,7,25%,Bad,L3,False,None,Bad,Tank,False,"Aztech Robotics: offense 1/5, defense 2/5"
AutoScout 1,55,Blue 1,4782,Outpost Side,,Too many (More than 60),Many (30-60),Middle,False,Excellent,True,0%(ask before),,,Capitan (More than 130),Too many (90-130),1,0%(ask before),Good,Failed Climb Attempt,False,Bad,Mid,Swerve,False,"PrepaTec - Borrebots: offense 5/5, defense 2/5"
AutoScout 1,56,Blue 2,4782,Middle,,Too many (More than 60),Too many (More than 60),Side,False,Excellent,True,0%(ask before),,,Capitan (More than 130),Too many (90-130),4,10%,BestOfEvent,Failed Climb Attempt,False,Bad,Bad,Swerve,False,"PrepaTec - Borrebots: offense 5/5, defense 2/5"
AutoScout 1,57,Blue 3,4782,Depot Side,,Too many (More than 60),Too many (More than 60),Failed Climb Attempt,False,Good,True,10%,,,Capitan (More than 130),Too many (90-130),4,0%(ask before),Good,Failed Climb Attempt,False,Bad,Bad,Swerve,False,"PrepaTec - Borrebots: offense 5/5, defense 2/5"
AutoScout 2,58,Red 1,5133,Middle,,Many (30-60),Some (15-30),Side,False,Excellent,True,0%(ask before),,,Too many (90-130),Too many (90-130),4,25%,BestOfEvent,Failed Climb Attempt,False,BestOfEvent,Mid,Swerve,False,"PrepaTec - Blue Steel: offense 4/5, defense 4/5"
AutoScout 2,59,Red 2,5133,Depot Side,,Many (30-60),Too little (Less than 15),Side,False,Excellent,True,25%,,,Capitan (More than 130),Many (60-90),2,10%,Good,Failed Climb Attempt,True,Good,Mid,Swerve,False,"PrepaTec - Blue Steel: offense 4/5, defense 4/5"
AutoScout 2,60,Red 3,5133,Outpost Side,,Many (30-60),Some (15-30),Failed Climb Attempt,False,Good,True,0%(ask before),,,Many (60-90),Some (35-60),5,0%(ask before),Good,Failed Climb Attempt,False,Mid,BestOfEvent,Swerve,False,"PrepaTec - Blue Steel: offense 4/5, defense 4/5"
AutoScout 3,61,Blue 1,5887,Depot Side,,Some (15-30),Some (15-30),Middle,False,Good,True,0%(ask before),,,Many (60-90),Many (60-90),5,25%,BestOfEvent,Failed Climb Attempt,False,BestOfEvent,Good,Swerve,False,"PrepaTec IMPERATOR: offense 3/5, defense 5/5"
AutoScout 3,62,Blue 2,5887,Outpost Side,,Too little (Less than 15),Too little (Less than 15),Failed Climb Attempt,False,Good,True,25%,,,Many (60-90),Too little (Less than 35),4,25%,Mid,L3,False,Good,BestOfEvent,Swerve,False,"PrepaTec IMPERATOR: offense 3/5, defense 5/5"
AutoScout 3,63,Blue 3,5887,Middle,,Some (15-30),Too little (Less than 15),Middle,False,Moves Balls in Middle,True,25%,,,Many (60-90),Some (35-60),5,25%,Good,L3,False,Good,BestOfEvent,Swerve,False,"PrepaTec IMPERATOR: offense 3/5, defense 5/5"
AutoScout 4,64,Red 1,5932,Outpost Side,,Too little (Less than 15),Too little (Less than 15),Failed Climb Attempt,False,Moves Balls in Middle,True,10%,,,Many (60-90),Some (35-60),3,50%,Mid,Failed Climb Attempt,False,Bad,Good,Mecanum,False,"Prepa Tecmilenio - Quetzales: offense 4/5, defense 3/5"
AutoScout 4,65,Red 2,5932,Middle,,Too little (Less than 15),None,Failed Climb Attempt,False,Only Shot,True,25%,,,Many (60-90),Many (60-90),3,10%,Good,L3,False,Good,Good,Mecanum,False,"Prepa Tecmilenio - Quetzales: offense 4/5, defense 3/5"
AutoScout 4,66,Red 3,5932,Depot Side,,Some (15-30),None,Side,False,Moves Balls in Middle,False,25%,,,Capitan (More than 130),Too many (90-130),3,25%,Bad,L3,False,Bad,Good,Mecanum,False,"Prepa Tecmilenio - Quetzales: offense 4/5, defense 3/5"
AutoScout 5,67,Blue 1,5959,Middle,,Some (15-30),Too little (Less than 15),Didn't Climb,False,Only Shot,True,50%,,,Too little (Less than 35),Some (35-60),6,50%,Mid,L2,False,Good,Good,Tank,True,"PrepaTec - Titanium Rams: offense 2/5, defense 4/5"
AutoScout 5,68,Blue 2,5959,Depot Side,,Too little (Less than 15),Too little (Less than 15),Didn't Climb,False,Only Shot,True,10%,,,Some (35-60),Too little (Less than 35),2,25%,Good,Failed Climb Attempt,False,Good,Good,Tank,False,"PrepaTec - Titanium Rams: offense 2/5, defense 4/5"
AutoScout 5,69,Blue 3,5959,Outpost Side,,Too little (Less than 15),Too little (Less than 15),Didn't Climb,False,Only Moved,True,50%,,,Many (60-90),Some (35-60),4,50%,Good,Failed Climb Attempt,False,Good,Mid,Tank,True,"PrepaTec - Titanium Rams: offense 2/5, defense 4/5"
AutoScout 6,70,Red 1,6017,Depot Side,,None,None,Didn't Climb,False,Only Shot,True,75%,,,Some (35-60),None,4,75%,None,L2,False,Mid,Mid,Tank,False,"PrepaTec - Cyberius: offense 1/5, defense 2/5"
AutoScout 6,71,Red 2,6017,Outpost Side,,Too little (Less than 15),Too little (Less than 15),Didn't Climb,False,Only Shot,False,25%,,,Too little (Less than 35),None,5,25%,Bad,L3,False,None,Bad,Tank,False,"PrepaTec - Cyberius: offense 1/5, defense 2/5"
AutoScout 6,72,Red 3,6017,Middle,,None,None,Didn't Climb,True,Did Nothing,False,75%,,,Too little (Less than 35),None,7,75%,Bad,L3,False,Mid,None,Tank,False,"PrepaTec - Cyberius: offense 1/5, defense 2/5"
AutoScout 1,73,Blue 1,6106,Outpost Side,,Too many (More than 60),Many (30-60),Middle,False,Excellent,True,0%(ask before),,,Too many (90-130),Many (60-90),3,0%(ask before),BestOfEvent,Failed Climb Attempt,False,Bad,None,Swerve,False,"PrepaTec - TecGear: offense 5/5, defense 2/5"
AutoScout 1,74,Blue 2,6106,Middle,,Too many (More than 60),Too many (More than 60),Middle,True,Excellent,False,0%(ask before),,,Too many (90-130),Support (More than 130),2,0%(ask before),BestOfEvent,Failed Climb Attempt,False,Bad,Mid,Swerve,False,"PrepaTec - TecGear: offense 5/5, defense 2/5"
AutoScout 1,75,Blue 3,6106,Depot Side,,Too many (More than 60),Many (30-60),Side,False,Good,True,10%,,,Capitan (More than 130),Many (60-90),4,0%(ask before),BestOfEvent,Failed Climb Attempt,False,None,Mid,Swerve,False,"PrepaTec - TecGear: offense 5/5, defense 2/5"
AutoScout 2,76,Red 1,6170,Middle,,Many (30-60),Many (30-60),Side,False,Moves Balls in Middle,True,25%,,,Too many (90-130),Many (60-90),2,25%,BestOfEvent,L3,False,Good,Mid,Swerve,True,"Prepa Tecmilenio Vitronik: offense 4/5, defense 4/5"
AutoScout 2,77,Red 2,6170,Depot Side,,Many (30-60),Too little (Less than 15),Failed Climb Attempt,True,Excellent,True,25%,,,Many (60-90),Many (60-90),2,0%(ask before),BestOfEvent,Failed Climb Attempt,False,Mid,Mid,Swerve,False,"Prepa Tecmilenio Vitronik: offense 4/5, defense 4/5"
AutoScout 2,78,Red 3,6170,Outpost Side,,Too many (More than 60),Some (15-30),Failed Climb Attempt,False,Moves Balls in Middle,True,0%(ask before),,,Too many (90-130),Too many (90-130),2,25%,Good,Failed Climb Attempt,False,BestOfEvent,Good,Swerve,False,"Prepa Tecmilenio Vitronik: offense 4/5, defense 4/5"
AutoScout 3,79,Blue 1,6200,Depot Side,,Some (15-30),Some (15-30),Middle,False,Moves Balls in Middle,True,10%,,,Some (35-60),Some (35-60),5,10%,Good,Failed Climb Attempt,False,Good,Good,Swerve,False,"PrepaTec - XRAMS: offense 3/5, defense 5/5"
AutoScout 3,80,Blue 2,6200,Outpost Side,,Many (30-60),Some (15-30),Failed Climb Attempt,False,Moves Balls in Middle,True,0%(ask before),,,Many (60-90),Many (60-90),2,10%,Good,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,False,"PrepaTec - XRAMS: offense 3/5, defense 5/5"
AutoScout 3,81,Blue 3,6200,Middle,,Many (30-60),Some (15-30),Failed Climb Attempt,False,Moves Balls in Middle,False,10%,,,Too many (90-130),Many (60-90),2,10%,Good,Failed Climb Attempt,True,BestOfEvent,BestOfEvent,Swerve,False,"PrepaTec - XRAMS: offense 3/5, defense 5/5"
AutoScout 4,82,Red 1,6348,Outpost Side,,Too little (Less than 15),None,Side,False,Moves Balls in Middle,True,10%,,,Capitan (More than 130),Too many (90-130),5,25%,Mid,L3,False,Good,Bad,Mecanum,False,"PrepaTec - HORUS: offense 4/5, defense 3/5"
AutoScout 4,83,Red 2,6348,Middle,,Many (30-60),Too little (Less than 15),Side,False,Only Shot,True,50%,,,Capitan (More than 130),Too many (90-130),3,25%,Mid,L3,False,Mid,Bad,Mecanum,False,"PrepaTec - HORUS: offense 4/5, defense 3/5"
AutoScout 4,84,Red 3,6348,Depot Side,,Some (15-30),None,Middle,False,Only Shot,True,50%,,,Capitan (More than 130),Many (60-90),5,10%,Bad,L2,False,Bad,Good,Mecanum,False,"PrepaTec - HORUS: offense 4/5, defense 3/5"
AutoScout 5,85,Blue 1,6606,Middle,,Too little (Less than 15),Too little (Less than 15),Failed Climb Attempt,True,Moves Balls in Middle,True,10%,,,Some (35-60),Some (35-60),6,25%,Bad,L3,False,BestOfEvent,BestOfEvent,Tank,False,"Prepa Tecmilenio Pink Hawks 6606: offense 2/5, defense 4/5"
AutoScout 5,86,Blue 2,6606,Depot Side,,None,Too little (Less than 15),Didn't Climb,True,Only Moved,False,50%,,,Many (60-90),None,4,10%,Good,L3,False,Mid,Mid,Tank,False,"Prepa Tecmilenio Pink Hawks 6606: offense 2/5, defense 4/5"
AutoScout 5,87,Blue 3,6606,Outpost Side,,None,Too little (Less than 15),Failed Climb Attempt,False,Moves Balls in Middle,False,50%,,,Too little (Less than 35),Some (35-60),5,50%,Mid,L2,False,BestOfEvent,BestOfEvent,Tank,False,"Prepa Tecmilenio Pink Hawks 6606: offense 2/5, defense 4/5"
AutoScout 6,88,Red 1,6652,Depot Side,,None,Too little (Less than 15),Didn't Climb,False,Only Moved,False,75%,,,None,Too little (Less than 35),7,25%,None,L2,False,Mid,Bad,Tank,False,"Tigres: offense 1/5, defense 2/5"
AutoScout 6,89,Red 2,6652,Outpost Side,,Too little (Less than 15),None,Didn't Climb,False,Only Shot,False,50%,,,Some (35-60),None,5,75%,None,L1,False,Bad,Bad,Tank,True,"Tigres: offense 1/5, defense 2/5"
AutoScout 6,90,Red 3,6652,Middle,,None,None,Failed Climb Attempt,False,Only Shot,True,75%,,,Too little (Less than 35),Too little (Less than 35),3,75%,None,L3,False,Mid,Bad,Tank,False,"Tigres: offense 1/5, defense 2/5"
AutoScout 1,91,Blue 1,6676,Outpost Side,,Too many (More than 60),Too many (More than 60),Side,False,Good,False,10%,,,Capitan (More than 130),Too many (90-130),2,10%,BestOfEvent,Failed Climb Attempt,False,None,Mid,Swerve,False,"Prepa Tecmilenio - Thunder Hawks - 6676: offense 5/5, defense 2/5"
AutoScout 1,92,Blue 2,6676,Middle,,Many (30-60),Many (30-60),Side,False,Excellent,True,0%(ask before),,,Capitan (More than 130),Many (60-90),0,0%(ask before),Good,L3,False,Bad,Bad,Swerve,False,"Prepa Tecmilenio - Thunder Hawks - 6676: offense 5/5, defense 2/5"
AutoScout 1,93,Blue 3,6676,Depot Side,,Too many (More than 60),Too many (More than 60),Side,False,Excellent,True,10%,,,Capitan (More than 130),Support (More than 130),1,0%(ask before),BestOfEvent,Failed Climb Attempt,True,None,Bad,Swerve,False,"Prepa Tecmilenio - Thunder Hawks - 6676: offense 5/5, defense 2/5"
AutoScout 2,94,Red 1,6702,Middle,,Some (15-30),Some (15-30),Failed Climb Attempt,False,Excellent,True,10%,,,Capitan (More than 130),Some (35-60),4,10%,Good,L3,False,Mid,Mid,Swerve,False,"PrepaTec - StingBots: offense 4/5, defense 4/5"
